figure,section,heading,file_name,description,recommended_repo_path,width_px,height_px,size_bytes,sha256
Figure 1,ws01-troubleshooting,Initial RDP Connection Failure,figure-01-initial-rdp-connection-failure.png,Initial RDP connection failure observed during client access troubleshooting.,evidence-library/projects/on-prem-home-lab/screenshots/figure-01-initial-rdp-connection-failure.png,695,279,15582,65D5ED79F841CB51F044F1A05185C05AC1271842B0676BC1900B125E84E309DD
Figure 2,ws01-troubleshooting,NLA Failure During Windows 11 Client Troubleshooting,figure-02-nla-failure-windows11-client-troubleshooting.png,NLA failure observed during Windows 11 client troubleshooting.,evidence-library/projects/on-prem-home-lab/screenshots/figure-02-nla-failure-windows11-client-troubleshooting.png,557,172,8082,94F27327B1BF2E0C30EDA831B38B7F49160939403D02BA6E2DEB2E23A5DCF3D4
Figure 3,ws01-baseline,WS01 System Identity and Hardware State,figure-03-ws01-system-about-identity-hardware.png,Cropped WS01 System > About proof showing workstation identity and hardware state after installation.,evidence-library/projects/on-prem-home-lab/screenshots/figure-03-ws01-system-about-identity-hardware.png,679,559,139038,26A4A69E33CCA925EEC46064307A14D5C02D1A2CB3E9508705242806F049E63E
Figure 4,ws01-baseline,WS01 DNS and DHCP Validation,figure-04-ws01-dns-dhcp-validation.png,Cropped DNS and DHCP validation output from WS01 after domain join and DNS registration.,evidence-library/projects/on-prem-home-lab/screenshots/figure-04-ws01-dns-dhcp-validation.png,1113,1099,118740,080AAAB4B0A905A92C651911571655E86D2224344BF069AAB5D9FC0476629F1C
Figure 5,active-directory,Active Directory WS01 OU Placement,figure-05-active-directory-ws01-ou-placement.png,Active Directory validation showing WS01 location after OU movement.,evidence-library/projects/on-prem-home-lab/screenshots/figure-05-active-directory-ws01-ou-placement.png,979,324,29401,390E466B485DE1BF4CA85F8214F7111FE9D41FECD206CCAC33555333FF45679C
Figure 6,rdp-validation,WS01 RDP Enablement and Firewall Rules,figure-06-ws01-rdp-enable-firewall-network.png,"Cropped WS01 output showing local RDP enablement, Remote Desktop firewall rules, and network state.",evidence-library/projects/on-prem-home-lab/screenshots/figure-06-ws01-rdp-enable-firewall-network.png,1120,1254,178195,C8846CCC29D972D61D92D4C55E5F664D1E3CA3A0E9A489D4CE66B2327CF4AD04
Figure 7,rdp-validation,DC01 to WS01 RDP and DNS Validation,figure-07-dc01-to-ws01-rdp-dns-validation.png,Cropped final RDP validation from DC01 showing TCP 3389 succeeds and DNS resolves WS01.,evidence-library/projects/on-prem-home-lab/screenshots/figure-07-dc01-to-ws01-rdp-dns-validation.png,980,409,62482,52EDDD8DFD47C594E444A1DD2875BD40947747128D5093862B93E13972015DF8
Figure 8,proxmox,WS01 Proxmox Boot Cleanup,figure-08-ws01-proxmox-boot-cleanup.png,Cropped Proxmox output showing WS01 boot cleanup and running status.,evidence-library/projects/on-prem-home-lab/screenshots/figure-08-ws01-proxmox-boot-cleanup.png,1400,516,110814,FF85B2D61E149607EA8B4EFF5AB842EA6EF2459985472F418C291219FDE46A7C
Figure 9,backup-snapshot,WS01 Baseline Snapshot Validation,figure-09-ws01-baseline-snapshot-validation.png,Cropped Proxmox output showing WS01 baseline snapshot creation and validation.,evidence-library/projects/on-prem-home-lab/screenshots/figure-09-ws01-baseline-snapshot-validation.png,1400,361,206855,8C3C8CD225B3133FF92B3DD9C607BCD55F189B6DA8834BBC719A2FACD7DB840D
Figure 10,backup-snapshot,WS01 Backup Archive Evidence,figure-10-ws01-backup-archive-evidence.png,Cropped evidence note excerpt showing the WS01 backup file and 8.9 GB archive.,evidence-library/projects/on-prem-home-lab/screenshots/figure-10-ws01-backup-archive-evidence.png,1400,154,35143,43A66DC24E7E1682B07508ADBC6C274C9867AE9C7975DAE139A8AD1DB4137A50
Figure 11,backup-snapshot,Scheduled Backup Job Includes WS01,figure-11-scheduled-backup-job-includes-ws01.png,Cropped Proxmox output showing scheduled backup job updated to include VM 300.,evidence-library/projects/on-prem-home-lab/screenshots/figure-11-scheduled-backup-job-includes-ws01.png,1400,400,74782,3889A475A9A1E26380B97BD87A52A0AF76B17DE4ECEC57BCF6954E4A9882D810
Figure 12,backup-snapshot,WS01 Snapshot and Backup Evidence Note,figure-12-ws01-snapshot-backup-evidence-note.png,"Cropped Proxmox evidence note documenting WS01 snapshot, backup file, scheduled job, VM inventory, and storage status.",evidence-library/projects/on-prem-home-lab/screenshots/figure-12-ws01-snapshot-backup-evidence-note.png,1400,992,267585,AFCF76FDB5580A7D7E42BB1BADD6EA6007BEAD9E32BA09FCD7C8A41D890F3A7D
Figure 13,file-services-gpo-drive-map,sd.tech IT Share Read Write Validation,figure-13-sdtech-it-share-read-write-validation.png,"WS01 sd.tech validation showing applied GPO, I: mapped drive to \\DC01\IT, and read/write test success.",evidence-library/projects/on-prem-home-lab/screenshots/figure-13-sdtech-it-share-read-write-validation.png,674,1100,227622,339A49CC0F07F37E030F11AEFD7D0009EADF7022910490814D7968B7BC2C6BAD
Figure 14,file-services-gpo-drive-map,standard.user IT Share Read Only and Write Denial Validation,figure-14-standard-user-it-share-read-only-write-denial.png,"WS01 standard.user validation showing applied GPO, I: mapped drive to \\DC01\IT, read access success, and write denial success.",evidence-library/projects/on-prem-home-lab/screenshots/figure-14-standard-user-it-share-read-only-write-denial.png,414,1155,222617,27F7745FF4230E41B1B946531246870D5CF56F81E7320727CBD91E5BE283F611
